NAME,PREP TIME,SERVES,CALORIES,INGREDIENTS,MEASUREMENTS,DESCRIPTIONS,INSTRUCTIONS
"Pistachio, Mint and Spice Crusted Lamb Chops",31mins,3,1261,"['6 (about 1.2 kg)', 'as needed', '2 tsp (about 7.6 g)', '3 (about 6 g)', '1 ½ tsp (about 3.15 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.33 g)', '¼ tsp (about 0.59 g)', '1 tbsp (about 15 g)', '1 tbsp (about 13.65 g)', '¾ cup (about 17.42 g)', '¾ cup (about 82.37 g)', '¼ cup (about 9.5 g)', '¼ cup (about 54.6 g)', '1 tbsp (about 10.2 g)', '1 (about 58 g)', '1 cup (about 240 g)', '¼ cup (about 8.71 g)', '3 tbsp (about 54.45 g)', 'as needed']","['6 (about 1.2 kg)', 'as needed', '2 tsp (about 7.6 g)', '3 (about 6 g)', '1 ½ tsp (about 3.15 g)', '½ tsp (about 1.33 g)', '½ tsp (about 1.33 g)', '¼ tsp (about 0.59 g)', '1 tbsp (about 15 g)', '1 tbsp (about 13.65 g)', '¾ cup (about 17.42 g)', '¾ cup (about 82.37 g)', '¼ cup (about 9.5 g)', '¼ cup (about 54.6 g)', '1 tbsp (about 10.2 g)', '1 (about 58 g)', '1 cup (about 240 g)', '¼ cup (about 8.71 g)', '3 tbsp (about 54.45 g)', 'as needed']","Although the preparation for these lamb chops is rather quick and simple, you will need quite a few ingredients to make this recipe.

The layers of flavor and texture are what make these lamb chops phenomenal.","
Step preview


Add rack of lamb to a clean baking sheet
Rub in salt & pepper the meat
Set aside
Add lemon zest, cardamom pods, ground cumin, chili powder, ground cinnamon, nutmeg, lime juice and olive oil to a clean small bowl
Mix together then set aside
Add mint, pistachios, cilantro, olive oil, red onion and lemon zest to a clean food processor bowl
Chop coarsely then set aside
Add lemon, greek yogurt, mint and mayonnaise to a clean medium bowl
Stir together
Refrigerate in fridge
Prepare meat
Transfer spices to meat
Rub in thoroughly
Drizzle with olive oil generously
Set aside - approx 10 min
Pre-heat oven - 200°C
Prepare a clean large cast iron skillet
Heat - medium heat
Transfer meat to large cast iron skillet
Cook each side until browned and turn off heat - approx 2 min
Spoon topping into baking sheet
Cook - 5 min, 200°C
Wrap with foil - approx 5 min
Serve immediately

Open in app

"
Chickpea and Quinoa Burgers,1hr 45mins,4,202,"['60 g (about ¼ cup)', '175 g (about ¾ cup)', '240 g (about ⅔)', '1 (about 50 g)', '10 g (about 2 ⅝ tbsp)', '5 g (about 25)', '2 (about 12 g)', '30 g (about 3 ⅛ tbsp)', '25 g (about 1 ⅓)', '25 g (about ¼ cup)', '1 tsp (about 3.8 g)', 'as needed']","['60 g (about ¼ cup)', '175 g (about ¾ cup)', '240 g (about ⅔)', '1 (about 50 g)', '10 g (about 2 ⅝ tbsp)', '5 g (about 25)', '2 (about 12 g)', '30 g (about 3 ⅛ tbsp)', '25 g (about 1 ⅓)', '25 g (about ¼ cup)', '1 tsp (about 3.8 g)', 'as needed']","These delicious, healthy, and protein-packed veggie burgers are full of flavor. They're the centerpiece of a deceptively easy meal. Double the recipe and freeze a few for quick weeknight dinners!","
Step preview


Add quinoa and water to a clean saucepan
Simmer until fluffy - 15 min
Add quinoa to medium bowl
Add canned chickpeas, egg, fresh parsley, fresh basil, garlic clove, parmesan cheese, sundried tomato, gram flour and lemon to the mixture
Season with salt & pepper
Blend until combined
Form
Chill in fridge - 1 hr
Grill until golden brown

Open in app

"
Thyme and Garlic Marinated Chicken,59mins,4,872,"['20 g (about 1 tbsp)', '1 ½ tsp (about 3.23 g)', '10 g (about 1 ¼)', '2 (about 12 g)', '10 g (about ¼ cup)', '30 g (about ½)', '30 g (about 1 ⅜ tbsp)', '40 g (about 2 ⅞ tbsp)', '1 kg (about 12 ½)']","['20 g (about 1 tbsp)', '1 ½ tsp (about 3.23 g)', '10 g (about 1 ¼)', '2 (about 12 g)', '10 g (about ¼ cup)', '30 g (about ½)', '30 g (about 1 ⅜ tbsp)', '40 g (about 2 ⅞ tbsp)', '1 kg (about 12 ½)']","A fresh and herby marinade, perfect for making grilled chicken exciting. Marinate chicken for two hours (or leave in the fridge overnight) then cook as usual.","
Step preview


Add sea salt, black peppercorns, lemon zest, garlic clove, fresh thyme, lemon, honey and olive oil to a clean large mixing bowl
Mix together
Add chicken pieces to the large mixing bowl
Toss
Marinate in fridge

Open in app

"
Salmon Burgers,20mins,4,242,"['681 g (about 5)', '2 tsp (about 10 g)', '2 (about 84 g)', '½ cup (about 22.8 g)', '1 tbsp (about 8.7 g)', '5 g (about 1 ⅔)', '1 pinch (about 0.38 g)']","['681 g (about 5)', '2 tsp (about 10 g)', '2 (about 84 g)', '½ cup (about 22.8 g)', '1 tbsp (about 8.7 g)', '5 g (about 1 ⅔)', '1 pinch (about 0.38 g)']","Have you ever gotten tired of the usual meaty barbecue staples and wished there was a lighter, healthier option that could still feed a crowd? These burgers are the answer!  Quick to make, they're a perfect recipe for creative additions - try swapping chives for dill, basil, tarragon, or even use a different fish - fresh tuna works well.  The key lies in processing a small amount of fish first, so the proteins bind the bigger pieces together without need for extra ingredients.  This delivers a burger that is light, tender, and still holds together on the grill.  Served with crisp baby greens and herby aioli, on our Brioche Buns.","
Step preview


Add salmon filet to a clean medium bowl
Transfer one quarter of fish to food processor bowl
Add dijon mustard to the food processor bowl
Blend until fine
Add shallot to the food processor bowl
Transfer the rest of fish to food processor bowl
Blend briefly
Place a clean medium bowl on Drop Scale
Transfer content of medium bowl to medium bowl
Add breadcrumbs, capers and fresh chives to the medium bowl
Season with salt & pepper
Mix gently until combined
Form into rounds
Grill

Open in app

"
Buttermilk Coleslaw,25mins,6,60,"['250 g (about ¼)', '250 g (about ¼)', '2 (about 100 g)', '½ cup (about 49.2 g)', '150 g (about ½ cup)', '45 g (about 3 tbsp)', '7.5 g (about 1 ½ tsp)', '7.5 g (about 1 tsp)', '7.5 g (about 1 ½ tsp)', '1 pinch (about 0.38 g)']","['250 g (about ¼)', '250 g (about ¼)', '2 (about 100 g)', '½ cup (about 49.2 g)', '150 g (about ½ cup)', '45 g (about 3 tbsp)', '7.5 g (about 1 ½ tsp)', '7.5 g (about 1 tsp)', '7.5 g (about 1 ½ tsp)', '1 pinch (about 0.38 g)']","Koolsla, the Dutch word for ""cabbage salad"" is a dish that first appeared in the Americas in the 17th century. Our version uses two types of cabbage coated in a buttermilk dressing. It's a crunchy, slightly sweet coleslaw, perfect for picnics and barbecues.","
Step preview


Add red cabbage, white cabbage, carrot and scallion to a clean large mixing bowl
Add mayonnaise, buttermilk, dijon mustard, maple syrup and apple cider vinegar to a clean small bowl
Season with salt & pepper
Whisk until combined
Transfer dressing to salad
Mix well

Open in app

"
Dark Chocolate & Avocado Mousse,2hrs 25mins,2,351,"['30 g (about 6)', '1 (about 165 g)', '35 g (about ½ cup)', '60 g (about 2 ⅝ tbsp)', '2 g (about ¼ tsp)', '½ (about 100 g)', 'as needed']","['30 g (about 6)', '1 (about 165 g)', '35 g (about ½ cup)', '60 g (about 2 ⅝ tbsp)', '2 g (about ¼ tsp)', '½ (about 100 g)', 'as needed']","Delicious vegan chocolate and avocado mousse, quick to make and practically guilt-free! (Vegan, Gluten-Free)","
Step preview


Add unsweetened chocolate to a clean medium glass bowl
Melt in double boiler
Add avocado, cocoa powder, agave syrup, sea salt and orange to the medium glass bowl
Blend until smooth
Transfer
Chill 2 clean small bowls until set - approx 2 hr
Garnish with pomegranate seeds

Open in app

"
Fluffy Gluten-Free Berry Muffins,25mins,12,281,"['300 g (about 1 ¾ cups)', '1 tbsp (about 7.5 g)', '200 g (about 1 cup)', '1 (about 50 g)', '80 ml (about 73.6 g)', '1 tsp (about 4.4 g)', '230 ml (about 230 g)', '70 g (about ¾ cup)', '140 g (about 1 ¼ cups)', '1 tsp (about 4.65 g)', '120 g (about 1 cup)', '3 tbsp (about 45 g)', '1 tbsp (about 7.5 g)']","['300 g (about 1 ¾ cups)', '1 tbsp (about 7.5 g)', '200 g (about 1 cup)', '1 (about 50 g)', '80 ml (about 73.6 g)', '1 tsp (about 4.4 g)', '230 ml (about 230 g)', '70 g (about ¾ cup)', '140 g (about 1 ¼ cups)', '1 tsp (about 4.65 g)', '120 g (about 1 cup)', '3 tbsp (about 45 g)', '1 tbsp (about 7.5 g)']","Light and fluffy berry muffins, packed with berries and topped with a vanilla and chia seed drizzle. Gluten Free - but you couldn't tell.","
Step preview


Pre-heat oven - 180°C
Line a clean muffin pan with paper muffin cups
Add mixed berries and gluten-free flour to a clean small bowl
Stir gently then set aside
Add golden caster sugar, egg, vegetable oil and vanilla extract to a clean large mixing bowl
Mix until combined
Add plain yogurt to the batter
Mix until combined
Add coconut flour, gluten-free flour and baking soda to the batter
Fold gently until combined
Transfer fruit to batter
Fold gently until just combined
Spoon batter into muffin pan
Bake until skewer tests clean - 18 min, 175°C
Let cool - approx 5 min
Transfer onto cooling rack until completely cool
Add powdered sugar to a clean glass measuring cup
Whisk briefly
Add vanilla extract to the icing
Add double cream to the icing gradually while mixing
Frost muffins
Sprinkle with chia seeds

Open in app

"
"Galette with Ricotta, Kale and Roasted Shallots",1hr 20mins,6,481,"['150 g (about 1 ¼ cups)', '3 g (about ½ tsp)', '45 g (about ¼ cup)', '100 g (about ½ cup)', '45 g (about 3 tbsp)', '75 g (about ¼ cup)', '300 g (about 7 ¼)', '250 g (about 4 ⅓)', '1 sprig', '30 g (about 2 ¼ tbsp)', '150 g (about 1)', '250 g (about 1 cups)', '1 (about 50 g)', '1 (about 58 g)', '¼ tsp (about 1.5 g)', '¼ tsp (about 0.54 g)']","['150 g (about 1 ¼ cups)', '3 g (about ½ tsp)', '45 g (about ¼ cup)', '100 g (about ½ cup)', '45 g (about 3 tbsp)', '75 g (about ¼ cup)', '300 g (about 7 ¼)', '250 g (about 4 ⅓)', '1 sprig', '30 g (about 2 ¼ tbsp)', '150 g (about 1)', '250 g (about 1 cups)', '1 (about 50 g)', '1 (about 58 g)', '¼ tsp (about 1.5 g)', '¼ tsp (about 0.54 g)']","Easy, rustic galette tart with roast shallots, potatoes and a zesty ricotta-kale mixture. The galette has a special sour cream crust, but you could also use our Flaky Pastry Dough.","
Step preview


Add all purpose flour, salt, fine cornmeal and unsalted butter to a clean medium bowl
Blend until coarse crumbs form
Add sour cream and water to a clean small bowl
Transfer cream to dry ingredients
Blend until dough forms
Turn out on lightly-floured surface
Wrap with plastic wrap
Chill in fridge - 1 hr
Pre-heat oven - 180°C
Add shallot, baby potato, rosemary and olive oil to a clean medium bowl
Transfer vegetables to large roasting dish
Roast medium bowl until soft - 20 min
Add kale to a clean frying pan
Sauté until soft - approx 5 min
Add ricotta cheese, egg, lemon, salt and black pepper to a clean medium bowl
Transfer vegetables to filling
Mix until combined
Flour a clean baking sheet lightly
Flatten content of work surface onto baking sheet
Roll out
Transfer half of filling to baking sheet
Add content of medium bowl to baking sheet
Transfer the rest of filling to baking sheet
Fold
Add egg to a clean small bowl
Beat
Glaze baking sheet
Bake until golden brown - 30 min, 180°C
Slice

Open in app

"
Healthier Grapefruit Breakfast Doughnuts,40mins,12,209,"['150 g (about 1 ¼ cups)', '50 g (about ½ cup)', '120 g (about ½ cup)', '1 tsp (about 5 g)', '½ tsp (about 2.33 g)', '¼ tsp (about 1.5 g)', '1 (about 50 g)', '½ cup (about 120 g)', '¼ cup (about 55.2 g)', '¼ cup (about 60 g)', '½ cup (about 115.5 g)', '1 (about 130 g)', '1 cup (about 122.4 g)', 'as needed']","['150 g (about 1 ¼ cups)', '50 g (about ½ cup)', '120 g (about ½ cup)', '1 tsp (about 5 g)', '½ tsp (about 2.33 g)', '¼ tsp (about 1.5 g)', '1 (about 50 g)', '½ cup (about 120 g)', '¼ cup (about 55.2 g)', '¼ cup (about 60 g)', '½ cup (about 115.5 g)', '1 (about 130 g)', '1 cup (about 122.4 g)', 'as needed']","A doughnut that has enough sweet stuff to make it feel indulgent and satisfying, but plenty of healthy stuff in there to keep your halo intact.

These healthier Grapefruit Doughnuts are made with whole wheat flour, coconut oil and greek yogurt. Baked rather than fried. Wonderful for breakfast!","
Step preview


Pre-heat oven - 170°C
Grease 2 clean mini doughnut pans
Add all purpose flour, whole wheat flour, golden caster sugar, baking powder, baking soda and salt to a clean large mixing bowl
Mix until combined
Add egg, greek yogurt, coconut oil, milk, grapefruit juice and grapefruit to the large mixing bowl
Mix until just combined
Pipe content of large mixing bowl onto 2 mini doughnut pans
Bake - 15 min, 170°C
Let cool
Add powdered sugar, grapefruit juice and grapefruit to a clean small bowl
Mix together
Dip content of mini doughnut pans into small bowl
Transfer onto cooling rack until set
Sprinkle with grapefruit

Open in app

"
"Sausage, Tomato and Scallion Scones",40mins,10,232,"['400 g (about 3 cups)', '¼ tsp (about 1.5 g)', '1 pinch (about 0.13 g)', '400 g (about 1 ¾ cups)', '35 g (about 2 ⅓)', '100 g (about ¾)', '150 g (about 1 ⅓)', '1 (about 50 g)']","['400 g (about 3 cups)', '¼ tsp (about 1.5 g)', '1 pinch (about 0.13 g)', '400 g (about 1 ¾ cups)', '35 g (about 2 ⅓)', '100 g (about ¾)', '150 g (about 1 ⅓)', '1 (about 50 g)']",Quick and satisfying savory scones.  Use your favorite sausage meat.,"
Step preview


Pre-heat oven - 175°C
Prepare a clean baking sheet with parchment paper
Add self raising flour, salt and black pepper to a clean large mixing bowl
Whisk together
Add heavy cream to the dough
Mix until dough forms
Add scallion, tomato and sausage to the dough
Mix together until well combined
Roll out
Cut out
Transfer dough to baking sheet
Add egg to a clean small bowl
Beat
Brush
Bake until golden brown - 25 min, 175°C
Serve

Open in app

"
Healthy Peanut Butter Bars,1hr 0mins,10,329,"['120 g (about ¾ cup)', '50 g (about ½ cup)', '35 g (about ¼ cup)', '20 g (about 2 ⅜ tbsp)', '8 (about 200 g)', '110 g (about ½ cup)', '30 g (about 1 ⅜ tbsp)', '30 g (about 2 ⅛ tbsp)', '70 g (about ¼ cup)', '45 g (about ½ cup)', '50 g (about ¾ cup)']","['120 g (about ¾ cup)', '50 g (about ½ cup)', '35 g (about ¼ cup)', '20 g (about 2 ⅜ tbsp)', '8 (about 200 g)', '110 g (about ½ cup)', '30 g (about 1 ⅜ tbsp)', '30 g (about 2 ⅛ tbsp)', '70 g (about ¼ cup)', '45 g (about ½ cup)', '50 g (about ¾ cup)']","These snack bars are free from refined sugars and full of complete proteins like chia and flaxseed (there are about 7.5g of protein in each bar). They're easy to wrap and store individually, so you can just stick one in your lunchbox and go.","
Step preview


Line a clean square pan with parchment paper
Add oats, flaked coconut, chia seeds and ground flaxseed to a clean medium bowl
Blitz until fine
Add medjool dates, peanut butter and honey to a clean medium bowl
Mix in coconut oil to the mixture
Blend mixture into dry ingredients
Press content of medium bowl into square pan
Chill in fridge
Add cocoa butter and honey to a clean medium glass bowl
Heat in double boiler until melted
Whisk in cocoa powder the chocolate mixture
Pour chocolate mixture into square pan
Sprinkle with pumpkin seeds
Chill in fridge until firm
Cut
Wrap individually with plastic wrap

Open in app

"
Sweet Potato and Spinach Frittata,1hr 15mins,6,242,"['3 (about 555 g)', 'as needed', '300 g (about 9 ½ cups)', '1 pinch (about 0.15 g)', 'as needed', '8 (about 400 g)', '25 g (about 1 ⅝ tbsp)', '11 g (about 1 ⅝ tbsp)']","['3 (about 555 g)', 'as needed', '300 g (about 9 ½ cups)', '1 pinch (about 0.15 g)', 'as needed', '8 (about 400 g)', '25 g (about 1 ⅝ tbsp)', '11 g (about 1 ⅝ tbsp)']","This is a protein-packed dish - great value and full of goodness. Serve hot, or makes a great cold lunch with salad and cured meat.","
Step preview


Pre-heat oven - 190°C
Add sweet potato to a clean baking sheet
Roast until soft - 50 min, 190°C
Set aside
Add olive oil to a clean large cast iron skillet
Heat - medium heat
Add spinach, nutmeg and salt & pepper to the large cast iron skillet
Cook until softened and continue
Add egg to a clean large mixing bowl
Whisk
Add feta cheese and cheddar cheese to the large cast iron skillet
Scoop content of baking sheet onto large cast iron skillet
Transfer content of large mixing bowl to large cast iron skillet
Top with feta cheese and cheddar cheese
Bake until light golden - 15 min, 190°C
Serve immediately

Open in app

"
Mini Tomato and Cheese Rustic Bread Puddings,45mins,6,265,"['100 g (about 2)', '160 g (about ¾ cup)', '160 g (about ¾ cup)', '180 g (about ¾)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '1 tbsp (about 3.9 g)', '225 g (about 15)', '75 g (about ¼ cup)']","['100 g (about 2)', '160 g (about ¾ cup)', '160 g (about ¾ cup)', '180 g (about ¾)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '1 tbsp (about 3.9 g)', '225 g (about 15)', '75 g (about ¼ cup)']","Easy savory mini bread puddings, baked in a muffin pan. Serve warm with a green salad for a delicious brunch.","
Step preview


Pre-heat oven - 190°C
Grease and flour a clean muffin pan
Add egg, milk and heavy cream to a clean large mixing bowl
Whisk until combined
Add rustic french bread to the batter
Toss together until combined
Let rest - 10 min
Add salt, black pepper, fresh parsley, cherry tomatoes and swiss cheese to the batter
Mix until combined
Spoon batter into muffin pan
Bake until lightly browned - 20 min, 190°C
Serve

Open in app

"
"Pumpkin, Feta and Spinach Muffins",55mins,12,202,"['450 g (about 1 ¾ cups)', '2 tbsp (about 27.3 g)', '3 g (about ½ tsp)', '3 g (about 1 ⅜ tsp)', '180 ml (about 180 g)', '2 (about 100 g)', '100 g (about 3 ¼ cups)', '30 g (about ½ cup)', '50 g (about ¼ cup)', '100 g (about ½ cup)', '100 g (about ¾ cup)', '10 g (about 1 ⅞ tsp)', '220 g (about 1 ¾ cups)', '16 g (about 1 ⅛ tbsp)']","['450 g (about 1 ¾ cups)', '2 tbsp (about 27.3 g)', '3 g (about ½ tsp)', '3 g (about 1 ⅜ tsp)', '180 ml (about 180 g)', '2 (about 100 g)', '100 g (about 3 ¼ cups)', '30 g (about ½ cup)', '50 g (about ¼ cup)', '100 g (about ½ cup)', '100 g (about ¾ cup)', '10 g (about 1 ⅞ tsp)', '220 g (about 1 ¾ cups)', '16 g (about 1 ⅛ tbsp)']","Delicious savory muffins, packed full of flavor and quick to make. Use fresh pumpkin or similar squash.","
Step preview


Pre-heat oven - 180°C
Add pumpkin to a clean large mixing bowl
Transfer vegetables to medium roasting dish
Drizzle with olive oil
Sprinkle with sea salt and black pepper
Bake roasted vegetables - 15 min, 180°C
Grease a clean muffin pan
Add milk and egg to a clean large mixing bowl
Beat until well blended
Add baby spinach, fresh parsley, sunflower seeds, feta cheese, parmesan cheese and wholegrain mustard to the batter
Add roasted vegetables to batter
Add all purpose flour, baking powder, sea salt and black pepper to a clean medium bowl
Whisk until combined
Add dry ingredients to batter
Mix gently until just combined
Transfer batter to muffin pan
Bake until golden brown - 20 min, 180°C

Open in app

"
Chicken Salad with Ramen Noodles,30mins,6,233,"['3 tbsp (about 54 g)', '3 tbsp (about 45 g)', '1 tbsp (about 13.8 g)', '1 tbsp (about 13.8 g)', '1 ½ tsp (about 2.77 g)', '1 tsp (about 4.25 g)', '4 cups (about 364.8 g)', '200 g (about 13 ⅓)', '1 (about 50 g)', '100 g (about 11)', '2 tbsp (about 16.2 g)', '1 (about 75 g)', '1 cup (about 240 g)', '10 g (about ¼ cup)']","['3 tbsp (about 54 g)', '3 tbsp (about 45 g)', '1 tbsp (about 13.8 g)', '1 tbsp (about 13.8 g)', '1 ½ tsp (about 2.77 g)', '1 tsp (about 4.25 g)', '4 cups (about 364.8 g)', '200 g (about 13 ⅓)', '1 (about 50 g)', '100 g (about 11)', '2 tbsp (about 16.2 g)', '1 (about 75 g)', '1 cup (about 240 g)', '10 g (about ¼ cup)']",1990 is back. There's a reason why this salad has been the star of so many potluck picnics. Try it for yourself. It's simple and delicious!,"
Step preview


Add soy sauce, rice vinegar, sesame oil, canola oil, ginger and sugar to a clean glass measuring cup
Mix then set aside
Add white cabbage, scallion, carrot, radish, sesame seeds, ramen noodles, chicken breast and cilantro to a clean large mixing bowl
Transfer dressing to salad
Mix well

Open in app

"
Chickpea and Lemon Soup,35mins,4,214,"['1 (about 140 g)', '1 (about 6 g)', '200 g (about 1)', '400 g (about 1)', '1 (about 58 g)', 'as needed', '½ tsp (about 1.05 g)', '½ tsp (about 1.07 g)', '900 ml (about 900 g)', '1 pinch (about 0.38 g)']","['1 (about 140 g)', '1 (about 6 g)', '200 g (about 1)', '400 g (about 1)', '1 (about 58 g)', 'as needed', '½ tsp (about 1.05 g)', '½ tsp (about 1.07 g)', '900 ml (about 900 g)', '1 pinch (about 0.38 g)']","Simple to make, and you can really add whatever veg you’ve got lying about.  I had some sweet potatoes in the cupboard, which are always great in soup as they add a silky sweetness and also help to thicken the soup.  Carrots, butternut squash, parsnips or peppers would also be good. Gluten-free and vegan.","
Step preview


Add olive oil spray and onion to a clean saucepan
Cook - approx 4 min, low heat
Add garlic clove to the saucepan
Cook - approx 1 min
Add sweet potato, ground cumin, paprika, canned chickpeas, vegetable stock and salt & pepper to the saucepan
Simmer and turn off heat - 25 min
Blend with stick blender until smooth
Add lemon to the saucepan
Stir
Serve

Open in app

"
Coconut-Lime Chicken with Mini Peppers,30mins,4,933,"['2 (about 12 g)', '227 g (about 64 ¾)', '1 tsp (about 1.85 g)', '2 (about 28 g)', '1 (about 100 g)', '1 tsp (about 2.1 g)', '1 tsp (about 2.65 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '4 (about 450 g)', '1 tbsp (about 13.65 g)', '2 cups (about 624 g)']","['2 (about 12 g)', '227 g (about 64 ¾)', '1 tsp (about 1.85 g)', '2 (about 28 g)', '1 (about 100 g)', '1 tsp (about 2.1 g)', '1 tsp (about 2.65 g)', '½ tsp (about 3 g)', '½ tsp (about 1.07 g)', '4 (about 450 g)', '1 tbsp (about 13.65 g)', '2 cups (about 624 g)']","This fun chicken dish had coconut cream, lime, and sweet mini bell peppers. This dish cooks entirely on the stove top, and comes together in just thirty minutes.","
Step preview


Add ground cumin, chili powder, salt, black pepper and chicken breast to a clean large mixing bowl
Coat
Prepare a clean medium cast iron skillet
Heat - high heat
Transfer content of large mixing bowl to medium cast iron skillet
Cook then reduce heat - 4 min
Flip and continue
Add olive oil and garlic clove to the medium cast iron skillet
Stir - 1 min
Add mini peppers to the medium cast iron skillet
Cook - approx 2 min
Add ginger and coconut cream to the medium cast iron skillet
Simmer - 10 min, low heat
Add jalapeño pepper to the medium cast iron skillet and turn off heat
Add lime to the medium cast iron skillet
Stir
Serve

Open in app

"
Lemongrass Kale Chicken Meatballs,35mins,2,641,"['½ cup (about 10.3 g)', '1 tbsp (about 13.8 g)', '28.38 g (about ¼ cup)', '28.38 g (about 2 ⅓)', '2 (about 12 g)', '1 tbsp (about 15 g)', '56.75 g (about 3 ¾)', '¼ cup (about 7.2 g)', '454 g (about 3 ½ cups)', '1 (about 50 g)', '1 pinch (about 0.38 g)']","['½ cup (about 10.3 g)', '1 tbsp (about 13.8 g)', '28.38 g (about ¼ cup)', '28.38 g (about 2 ⅓)', '2 (about 12 g)', '1 tbsp (about 15 g)', '56.75 g (about 3 ¾)', '¼ cup (about 7.2 g)', '454 g (about 3 ½ cups)', '1 (about 50 g)', '1 pinch (about 0.38 g)']","These healthy meatballs are packed with nutrients from kale and Asian-inspired flavors from lemongrass, garlic, and ginger. These meatballs are baked, but you could cook them on the stovetop if you prefer. Serve with a side of potatoes and more vegetables!","
Step preview


Pre-heat oven - 170°C
Add ginger, lemongrass stalk, garlic clove, lime juice, green onion, cilantro, kale and sesame oil to a clean food processor bowl
Pulse
Transfer content of food processor bowl to large mixing bowl
Add ground chicken, egg and salt & pepper to the large mixing bowl
Combine gently
Scoop into balls
Transfer content of large mixing bowl to baking sheet
Bake - 20 min, 170°C
Serve

Open in app

"
One Pan Singapore Noodles,20mins,4,231,"['1 tbsp (about 14.25 g)', '3 (about 18 g)', '1 tsp (about 1.85 g)', '2 (about 40 g)', '6 (about 90 g)', '100 g (about ¾ cup)', '1 (about 150 g)', '100 g (about ¾ cup)', '3 tbsp (about 54 g)', '1 tbsp (about 15 g)', '1 tbsp (about 6 g)', '1 tsp (about 4.25 g)', '1 tsp (about 4.6 g)', '300 ml (about 300 g)', '225 g (about ¾ cup)', '4 sprigs']","['1 tbsp (about 14.25 g)', '3 (about 18 g)', '1 tsp (about 1.85 g)', '2 (about 40 g)', '6 (about 90 g)', '100 g (about ¾ cup)', '1 (about 150 g)', '100 g (about ¾ cup)', '3 tbsp (about 54 g)', '1 tbsp (about 15 g)', '1 tbsp (about 6 g)', '1 tsp (about 4.25 g)', '1 tsp (about 4.6 g)', '300 ml (about 300 g)', '225 g (about ¾ cup)', '4 sprigs']","One pan Singapore noodles is a simple, healthy, heart warming dish, perfect for the coming winter evenings!","
Step preview


Get a clean frying pan
Heat
Add sunflower oil, garlic clove, ginger, fresh chili and scallion to the frying pan
Stir until tender - approx 2 min
Add green beans and red bell pepper to the frying pan
Stir continuously - approx 4 min
Add peas, soy sauce, rice wine, curry powder, sugar, sesame oil, chicken stock and rice noodles to the frying pan
Stir until tender - approx 3 min
Serve
Garnish with cilantro

Open in app

"
One Pot Kale and Quinoa Pilaf,30mins,3,295,"['2 cups (about 480 g)', '1 tsp (about 6 g)', '1 cup (about 172.8 g)', '1 (about 170 g)', '½ (about 29 g)', '1 (about 58 g)', '2 (about 30 g)', '3 tbsp (about 25.65 g)', '¼ cup (about 60 g)', '1 tbsp (about 13.8 g)', 'as needed']","['2 cups (about 480 g)', '1 tsp (about 6 g)', '1 cup (about 172.8 g)', '1 (about 170 g)', '½ (about 29 g)', '1 (about 58 g)', '2 (about 30 g)', '3 tbsp (about 25.65 g)', '¼ cup (about 60 g)', '1 tbsp (about 13.8 g)', 'as needed']","This recipe comes together in no time. It’s light and simple. Go for a nice extra virgin olive oil if you haven’t any walnut oil. The meyer lemon is a nice addition, but if you haven’t one on hand – a good ol’ fashioned lemon will work in a jiffy. Feta would work nicely here, and if you're not into that or goat cheese, farmer cheese would work well here too.","
Step preview


Add water and salt to a clean large saucepan
Boil
Add quinoa to the large saucepan
Cover then reduce heat
Simmer - 10 min
Add kale to the large saucepan
Cover then reduce heat
Simmer and turn off heat - 5 min
Let rest - 5 min
Add lemon, lemon, scallion, pine nuts, hard goat cheese and walnut oil to a clean large mixing bowl
Combine
Transfer vegetables to dressing
Toss until combined
Add salt & pepper and lemon to the dressing
Serve

Open in app

"
Spicy Thai BBQ Fish Cakes,15mins,3,173,"['1 (about 20 g)', '2 (about 12 g)', '1 (about 12 g)', '1 tsp (about 1.85 g)', '1 cup (about 28.8 g)', '1 tsp (about 6 g)', '2 tsp (about 8.1 g)', '½ tsp (about 3 g)', '3 (about 45 g)', '250 g (about 1 ¾)', '2 (about 0.2 g)']","['1 (about 20 g)', '2 (about 12 g)', '1 (about 12 g)', '1 tsp (about 1.85 g)', '1 cup (about 28.8 g)', '1 tsp (about 6 g)', '2 tsp (about 8.1 g)', '½ tsp (about 3 g)', '3 (about 45 g)', '250 g (about 1 ¾)', '2 (about 0.2 g)']",Hot and spicy Thai fish cakes - so simple but packed FULL of flavour.,"
Step preview


Add fresh chili, garlic clove, lemongrass stalk, fish sauce, brown sugar, salt, scallion and ginger to a clean food processor bowl
Pulse until well combined
Add salmon filet to the food processor bowl
Pulse briefly until just combined
Add cilantro and kaffir lime leaves to the food processor bowl
Pulse until combined
Form into balls
Chill in fridge until firm - approx 30 min
Assemble
Grill

Open in app

"
